Date,year,month,day,weekday,weekday_name,day_name,month_name
2021-01-04,2021,1,4,0,Monday,Monday,January
2021-01-05,2021,1,5,1,Tuesday,Tuesday,January
2021-01-06,2021,1,6,2,Wednesday,Wednesday,January
2021-01-07,2021,1,7,3,Thursday,Thursday,January
2021-01-08,2021,1,8,4,Friday,Friday,January
2021-01-11,2021,1,11,0,Monday,Monday,January
2021-01-12,2021,1,12,1,Tuesday,Tuesday,January
2021-01-13,2021,1,13,2,Wednesday,Wednesday,January
2021-01-14,2021,1,14,3,Thursday,Thursday,January
2021-01-15,2021,1,15,4,Friday,Friday,January
2021-01-18,2021,1,18,0,Monday,Monday,January
2021-01-19,2021,1,19,1,Tuesday,Tuesday,January
2021-01-20,2021,1,20,2,Wednesday,Wednesday,January
2021-01-21,2021,1,21,3,Thursday,Thursday,January
2021-01-22,2021,1,22,4,Friday,Friday,January
2021-01-26,2021,1,26,1,Tuesday,Tuesday,January
2021-01-27,2021,1,27,2,Wednesday,Wednesday,January
2021-01-28,2021,1,28,3,Thursday,Thursday,January
2021-01-29,2021,1,29,4,Friday,Friday,January
2021-02-01,2021,2,1,0,Monday,Monday,February
2021-02-02,2021,2,2,1,Tuesday,Tuesday,February
2021-02-03,2021,2,3,2,Wednesday,Wednesday,February
2021-02-04,2021,2,4,3,Thursday,Thursday,February
2021-02-05,2021,2,5,4,Friday,Friday,February
2021-02-08,2021,2,8,0,Monday,Monday,February
2021-02-09,2021,2,9,1,Tuesday,Tuesday,February
2021-02-10,2021,2,10,2,Wednesday,Wednesday,February
2021-02-11,2021,2,11,3,Thursday,Thursday,February
2021-02-12,2021,2,12,4,Friday,Friday,February
2021-02-17,2021,2,17,2,Wednesday,Wednesday,February
2021-02-18,2021,2,18,3,Thursday,Thursday,February
2021-02-19,2021,2,19,4,Friday,Friday,February
2021-02-22,2021,2,22,0,Monday,Monday,February
2021-02-23,2021,2,23,1,Tuesday,Tuesday,February
2021-02-24,2021,2,24,2,Wednesday,Wednesday,February
2021-02-25,2021,2,25,3,Thursday,Thursday,February
2021-02-26,2021,2,26,4,Friday,Friday,February
2021-03-01,2021,3,1,0,Monday,Monday,March
2021-03-02,2021,3,2,1,Tuesday,Tuesday,March
2021-03-03,2021,3,3,2,Wednesday,Wednesday,March
2021-03-04,2021,3,4,3,Thursday,Thursday,March
2021-03-05,2021,3,5,4,Friday,Friday,March
2021-03-08,2021,3,8,0,Monday,Monday,March
2021-03-09,2021,3,9,1,Tuesday,Tuesday,March
2021-03-10,2021,3,10,2,Wednesday,Wednesday,March
2021-03-11,2021,3,11,3,Thursday,Thursday,March
2021-03-12,2021,3,12,4,Friday,Friday,March
2021-03-15,2021,3,15,0,Monday,Monday,March
2021-03-16,2021,3,16,1,Tuesday,Tuesday,March
2021-03-17,2021,3,17,2,Wednesday,Wednesday,March
2021-03-18,2021,3,18,3,Thursday,Thursday,March
2021-03-19,2021,3,19,4,Friday,Friday,March
2021-03-22,2021,3,22,0,Monday,Monday,March
2021-03-23,2021,3,23,1,Tuesday,Tuesday,March
2021-03-24,2021,3,24,2,Wednesday,Wednesday,March
2021-03-25,2021,3,25,3,Thursday,Thursday,March
2021-03-26,2021,3,26,4,Friday,Friday,March
2021-03-29,2021,3,29,0,Monday,Monday,March
2021-03-30,2021,3,30,1,Tuesday,Tuesday,March
2021-03-31,2021,3,31,2,Wednesday,Wednesday,March
2021-04-01,2021,4,1,3,Thursday,Thursday,April
2021-04-05,2021,4,5,0,Monday,Monday,April
2021-04-06,2021,4,6,1,Tuesday,Tuesday,April
2021-04-07,2021,4,7,2,Wednesday,Wednesday,April
2021-04-08,2021,4,8,3,Thursday,Thursday,April
2021-04-09,2021,4,9,4,Friday,Friday,April
2021-04-12,2021,4,12,0,Monday,Monday,April
2021-04-13,2021,4,13,1,Tuesday,Tuesday,April
2021-04-14,2021,4,14,2,Wednesday,Wednesday,April
2021-04-15,2021,4,15,3,Thursday,Thursday,April
2021-04-16,2021,4,16,4,Friday,Friday,April
2021-04-19,2021,4,19,0,Monday,Monday,April
2021-04-20,2021,4,20,1,Tuesday,Tuesday,April
2021-04-22,2021,4,22,3,Thursday,Thursday,April
2021-04-23,2021,4,23,4,Friday,Friday,April
2021-04-26,2021,4,26,0,Monday,Monday,April
2021-04-27,2021,4,27,1,Tuesday,Tuesday,April
2021-04-28,2021,4,28,2,Wednesday,Wednesday,April
2021-04-29,2021,4,29,3,Thursday,Thursday,April
2021-04-30,2021,4,30,4,Friday,Friday,April
2021-05-03,2021,5,3,0,Monday,Monday,May
2021-05-04,2021,5,4,1,Tuesday,Tuesday,May
2021-05-05,2021,5,5,2,Wednesday,Wednesday,May
2021-05-06,2021,5,6,3,Thursday,Thursday,May
2021-05-07,2021,5,7,4,Friday,Friday,May
2021-05-10,2021,5,10,0,Monday,Monday,May
2021-05-11,2021,5,11,1,Tuesday,Tuesday,May
2021-05-12,2021,5,12,2,Wednesday,Wednesday,May
2021-05-13,2021,5,13,3,Thursday,Thursday,May
2021-05-14,2021,5,14,4,Friday,Friday,May
2021-05-17,2021,5,17,0,Monday,Monday,May
2021-05-18,2021,5,18,1,Tuesday,Tuesday,May
2021-05-19,2021,5,19,2,Wednesday,Wednesday,May
2021-05-20,2021,5,20,3,Thursday,Thursday,May
2021-05-21,2021,5,21,4,Friday,Friday,May
2021-05-24,2021,5,24,0,Monday,Monday,May
2021-05-25,2021,5,25,1,Tuesday,Tuesday,May
2021-05-26,2021,5,26,2,Wednesday,Wednesday,May
2021-05-27,2021,5,27,3,Thursday,Thursday,May
2021-05-28,2021,5,28,4,Friday,Friday,May
2021-05-31,2021,5,31,0,Monday,Monday,May
2021-06-01,2021,6,1,1,Tuesday,Tuesday,June
2021-06-02,2021,6,2,2,Wednesday,Wednesday,June
2021-06-04,2021,6,4,4,Friday,Friday,June
2021-06-07,2021,6,7,0,Monday,Monday,June
2021-06-08,2021,6,8,1,Tuesday,Tuesday,June
2021-06-09,2021,6,9,2,Wednesday,Wednesday,June
2021-06-10,2021,6,10,3,Thursday,Thursday,June
2021-06-11,2021,6,11,4,Friday,Friday,June
2021-06-14,2021,6,14,0,Monday,Monday,June
2021-06-15,2021,6,15,1,Tuesday,Tuesday,June
2021-06-16,2021,6,16,2,Wednesday,Wednesday,June
2021-06-17,2021,6,17,3,Thursday,Thursday,June
2021-06-18,2021,6,18,4,Friday,Friday,June
2021-06-21,2021,6,21,0,Monday,Monday,June
2021-06-22,2021,6,22,1,Tuesday,Tuesday,June
2021-06-23,2021,6,23,2,Wednesday,Wednesday,June
2021-06-24,2021,6,24,3,Thursday,Thursday,June
2021-06-25,2021,6,25,4,Friday,Friday,June
2021-06-28,2021,6,28,0,Monday,Monday,June
2021-06-29,2021,6,29,1,Tuesday,Tuesday,June
2021-06-30,2021,6,30,2,Wednesday,Wednesday,June
2021-07-01,2021,7,1,3,Thursday,Thursday,July
2021-07-02,2021,7,2,4,Friday,Friday,July
2021-07-05,2021,7,5,0,Monday,Monday,July
2021-07-06,2021,7,6,1,Tuesday,Tuesday,July
2021-07-07,2021,7,7,2,Wednesday,Wednesday,July
2021-07-08,2021,7,8,3,Thursday,Thursday,July
2021-07-12,2021,7,12,0,Monday,Monday,July
2021-07-13,2021,7,13,1,Tuesday,Tuesday,July
2021-07-14,2021,7,14,2,Wednesday,Wednesday,July
2021-07-15,2021,7,15,3,Thursday,Thursday,July
2021-07-16,2021,7,16,4,Friday,Friday,July
2021-07-19,2021,7,19,0,Monday,Monday,July
2021-07-20,2021,7,20,1,Tuesday,Tuesday,July
2021-07-21,2021,7,21,2,Wednesday,Wednesday,July
2021-07-22,2021,7,22,3,Thursday,Thursday,July
2021-07-23,2021,7,23,4,Friday,Friday,July
2021-07-26,2021,7,26,0,Monday,Monday,July
2021-07-27,2021,7,27,1,Tuesday,Tuesday,July
2021-07-28,2021,7,28,2,Wednesday,Wednesday,July
2021-07-29,2021,7,29,3,Thursday,Thursday,July
2021-07-30,2021,7,30,4,Friday,Friday,July
2021-08-02,2021,8,2,0,Monday,Monday,August
2021-08-03,2021,8,3,1,Tuesday,Tuesday,August
2021-08-04,2021,8,4,2,Wednesday,Wednesday,August
2021-08-05,2021,8,5,3,Thursday,Thursday,August
2021-08-06,2021,8,6,4,Friday,Friday,August
